,aaaa,aaab,aaba,aabb,abaa,abab,abba,abbb,baaa,baab,baba,babb,bbaa,bbab,bbba,bbbb,bbbc,bbcb,bbcc,bcbb,bcbc,bccb,bccc,cbab,cbbb,cbbc,cbcb,cbcc,ccba,ccbb,ccbc,cccb,cccc
baba,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.14634146341463414,0.0975609756097561,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025
babb,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.07547169811320754,0.33962264150943394,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886
bbaa,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.3492063492063492,0.15873015873015872,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.015873015873015872
bbab,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.07692307692307693,0.3269230769230769,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232
bbba,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.2898550724637681,0.2608695652173913,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406
bbbb,0.002386634844868735,0.002386634844868735,0.002386634844868735,0.002386634844868735,0.002386634844868735,0.002386634844868735,0.002386634844868735,0.002386634844868735,0.002386634844868735,0.002386634844868735,0.002386634844868735,0.002386634844868735,0.002386634844868735,0.002386634844868735,0.07398568019093078,0.8305489260143198,0.02386634844868735,0.002386634844868735,0.002386634844868735,0.002386634844868735,0.002386634844868735,0.002386634844868735,0.002386634844868735,0.002386634844868735,0.002386634844868735,0.002386634844868735,0.002386634844868735,0.002386634844868735,0.002386634844868735,0.002386634844868735,0.002386634844868735,0.002386634844868735,0.002386634844868735
bbbc,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.19047619047619047,0.07142857142857142,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808
bbcb,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.19047619047619047,0.07142857142857142,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808
bbcc,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.07894736842105263,0.10526315789473684,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421
bcbb,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.16666666666666666,0.09523809523809523,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808
bcbc,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.05714285714285714,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857
bccb,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.08108108108108109,0.08108108108108109,0.02702702702702703,0.02702702702702703
bccc,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.075,0.15
cbab,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.058823529411764705,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353
cbbb,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.23809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808
cbbc,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.07894736842105263,0.10526315789473684,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421
cbcb,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.08571428571428572,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857
cbcc,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.07692307692307693,0.1282051282051282,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564
ccba,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.058823529411764705,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353
ccbb,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.10526315789473684,0.07894736842105263,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421
ccbc,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.05128205128205128,0.15384615384615385,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564
cccb,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.04878048780487805,0.0975609756097561,0.12195121951219512,0.024390243902439025,0.024390243902439025
cccc,0.001694915254237288,0.001694915254237288,0.001694915254237288,0.001694915254237288,0.001694915254237288,0.001694915254237288,0.001694915254237288,0.001694915254237288,0.001694915254237288,0.001694915254237288,0.001694915254237288,0.001694915254237288,0.001694915254237288,0.001694915254237288,0.001694915254237288,0.001694915254237288,0.001694915254237288,0.001694915254237288,0.001694915254237288,0.001694915254237288,0.001694915254237288,0.001694915254237288,0.001694915254237288,0.001694915254237288,0.001694915254237288,0.001694915254237288,0.001694915254237288,0.001694915254237288,0.001694915254237288,0.001694915254237288,0.001694915254237288,0.011864406779661017,0.9355932203389831
